LMA
150.525
150.406
150.379
150.316
150.305
150.331
150.396
150.638
151.179
151.625
152.101
152.778
153.296
153.808
154.581
155.404
156.09
156.707
157.409
157.953
158.657
159.333
159.85
160.225
160.853
161.321
161.833
162.286
162.704
163.145
163.45
163.703
163.978
164.283
164.665
165.031
165.273
165.391
165.483
165.584
166.032
166.605
167.154
167.827
168.236
168.604
168.946
169.226
169.479
169.899
170.409
170.852
171.242
171.646
171.875
172.162
172.548
172.983
173.615
174.373
174.671
174.957
175.259
175.61
