SMA
151.731
151.315
151.006
150.362
149.573
148.631
148.363
148.491
148.803
149.199
149.318
149.497
149.752
150.27
151.038
152.032
152.429
152.786
153.554
154.05
154.884
156.059
156.84
157.346
158.124
158.775
159.751
160.628
161.263
161.856
162.429
162.607
162.859
163.104
163.583
163.868
163.915
163.945
164.145
164.434
164.47
164.8
165.097
165.463
165.748
166.195
166.631
166.838
166.82
166.734
167.594
168.411
169.211
170.19
170.725
171.013
171.261
171.614
172.138
173.064
173.224
173.293
173.272
173.101
173.025
173.311
173.834
174.352
175.092
175.682
176.119
176.62
177.246
178.119
