realTimeTimeStamp,openingPrices,highestPrices,lowestPrices,closedPrices,volumeOfTrading,numberOfTrades,vwAveragePrices
2023-05-18T04:00:00Z,173,175.24,172.58,175.05,6.54954e+07,595677,174.301
2023-05-19T04:00:00Z,175.93,176.39,174.94,175.21,4.97597e+07,517390,175.556
2023-05-22T04:00:00Z,173.98,174.71,173.45,174.2,4.35982e+07,527344,174.183
2023-05-23T04:00:00Z,173.13,173.379,171.275,171.56,5.08252e+07,536148,172.19
2023-05-24T04:00:00Z,171.09,172.418,170.52,171.84,4.66614e+07,493919,171.486
2023-05-25T04:00:00Z,172.625,173.895,171.69,172.99,5.64902e+07,534873,172.886
2023-05-26T04:00:00Z,173.32,175.77,173.11,175.43,5.38343e+07,518280,175.144
2023-05-30T04:00:00Z,176.96,178.99,176.57,177.3,5.59978e+07,652460,177.449
2023-05-31T04:00:00Z,177.325,179.35,176.76,177.25,9.96361e+07,670117,177.938
2023-06-01T04:00:00Z,177.7,180.12,176.931,180.09,6.89009e+07,624126,179.38
2023-06-02T04:00:00Z,181.03,181.78,179.26,180.95,6.10884e+07,607674,180.65
2023-06-05T04:00:00Z,182.63,184.951,178.035,179.58,1.2207e+08,1.28962e+06,182.143
2023-06-06T04:00:00Z,179.965,180.12,177.43,179.21,6.48803e+07,706864,178.71
2023-06-07T04:00:00Z,178.44,181.21,177.32,177.82,6.19687e+07,670630,178.662
2023-06-08T04:00:00Z,177.895,180.84,177.46,180.57,5.02191e+07,548457,179.549
